"дата","инфляция","3.5. Индекс потребительских цен  (на конец периода, в % к концу предыдущего периода)","Цены на сырьевые товары: золото, руб./грамм.","3.3.1. Сводный индекс цен на продукцию (затраты, услуги) инвестиционного назначения (на конец периода, в % к концу предыдущего периода)","Акции  АПК: Акрон ","Индекс металлов и добычи","Цены на сырьевые товары: алюминий, USD","Цены на сырьевые товары: платина, руб./грамм.","Индекс нефти и газа","3.2.4. Средние цены производителей на продукцию животноводства.Яйцо,рублей за тыс.штук","Индекс МБ химии и нефтехимии","Акции АНК Башнефть, руб.","3.2.3. Средние цены производителей на продукцию животноводства.Молоко, рублей за тонну ","Курс USD","Цены на сырьевые товары: серебро, руб./грамм.","2.5. Просроченная задолженность по заработной плате на начало месяца, всего, млн рублей ","Объем ФНБ на начало периода, млрд. руб.","Цены на сырьевые товары: никель, USD","3.1.1.4 Топливо дизельное, рублей за тонну ","Сальдо внешней торговли, млн. USD","Цены на сырьевые товары: палладий, руб./грамм.","Обьем торгов, руб.","Учетная ставка","Денежная масса (М2)","1.14.1. Стоимость и изменение стоимости условного (минимального) набора продуктов питания  в расчете на месяц, рублей","3.2.1. Средние цены производителей на продукцию животноводства.Скот крупный рогатый (в живом весе), рублей за тонну ","3.1.1.5 Мазут топочный, рублей за тонну ","2.3 Кредиты, депозиты и прочие средства, предоставленные  корпоративным клиентам, физическим лицам и кредитным организациям, млрд.рублей","Средняя номинальная заработная плата, руб/мес","Курс акций, Сбер","Оборот внешней торговли, млн. USD","3.1.1.1 Нефть обезвоженная, обессоленная и стабилизированная, рублей за тонну","3.2.2. Средние цены производителей на продукцию животноводства.Птица (в живом весе), рублей за тонну ","3.1.1.3 Бензин автомобильный, рублей за тонну","Всего внешний долг,экв. млн. долл. США","Объем торгов МБ металлов и добычи, руб.","Количество безработных (на конец месяца), млн. чел.","Акции Группа ЛУКОЙЛ","в т.ч. по государственным гарантиям Российской Федерации в иностранной валюте:","1.5. Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ","Коммерческий грузооборот транспорта, млрд. т-км."
2013-01-01,1.0097,101.0,1627.889,100.6,1412.4,2908.98,2047.68,1620.386,3308.51,3095,7849.38,1789.8,15402,30.297,30.35938,1560,2690.63,17401.0,22166,14444,697.5663,176433568485.0,8.25,27164.6,2662.2,72980,7722,32886.9,26840,106.86,59087.21290000001,10358,59094,17560,50769.2,56607260009.0,4.5,2020.9,11389.8,427.3,420.9
2013-02-01,1.0056,100.6,1585.306,101.5,1429.9,2918.63,2081.65,1628.181,3395.99,3050,7995.58,1909.8,15198,30.1713,29.666,2296,2678.63,18102.0,21385,13680,728.756,202564390642.0,8.25,26348.7,2693.3,74640,7705,32789.3,26620,106.75,67680.6465,10630,55985,19138,50644.6,50182667319.0,4.3,2021.0,11308.8,391.9,384.5
2013-03-01,1.0034,100.3,1576.537,98.8,1430.7,2688.17,1916.25,1566.746,3239.67,3085,8064.77,2065.0,14950,30.8908,28.52714,2404,2682.58,16652.5,20746,12904,745.9457,246884329391.0,8.25,26768.4,2716.1,73488,7842,33541.1,28693,102.9,72257.9989,10723,54359,19228,50616.5,51018569758.0,4.3,1963.0,11301.7,429.3,419.2
2013-04-01,1.0051,100.5,1503.458,99.8,1320.0,2397.3,1867.56,1503.63,3178.59,3234,7686.61,1930.0,15232,31.34,25.80381,2568,2696.73,15620.0,20286,12548,712.05,245787609901.0,8.25,27198.6,2773.0,75002,7738,33800.9,30026,97.89,73362.90389999999,9707,54213,19006,49803.9,59843178645.0,4.2,1980.1,11301.1,417.1,407.2
2013-05-01,1.0066,100.7,1416.833,100.7,1232.1,2279.33,1840.75,1484.428,3012.73,3005,7524.36,1989.7,14976,31.228,23.10778,2517,2727.79,14888.25,19842,12277,729.2861,223806826798.0,8.25,27377.1,2878.2,74616,7565,34763.2,29723,102.86,66043.1814,9208,53347,18627,49837.4,44574789068.0,3.9,1960.8,11384.1,425.1,414.7
2013-06-01,1.0042,100.4,1395.631,100.8,1295.1,2127.57,1811.04,1485.855,2941.2,2363,7502.69,2009.9,14783,31.83,22.1625,2295,2739.33,14188.0,19507,11517,742.1435,222482933876.0,8.25,27593.4,2969.8,71394,7990,35396.6,30986,90.62,68582.54879999999,9744,54641,18533,49645.5,43257333789.0,4.1,1873.0,11269.5,400.2,389.4
2013-07-01,1.0082,100.8,1349.453,100.1,1240.1,2004.36,1778.65,1471.285,3022.1,2433,7264.6,1845.0,14710,32.4288,20.69591,2537,2828.23,13803.5,19980,11541,752.7564,209598336998.0,8.25,28212.3,2962.0,70732,8439,36185.4,30229,97.83,71998.0447,10629,53133,19027,49568.1,41301635571.0,4.0,1889.0,11266.5,411.2,399.9
2013-08-01,1.0014,100.1,1429.087,101.0,1072.5,2071.59,1839.48,1584.763,3192.44,2675,5948.32,2009.8,15139,33.05,22.97739,2526,2858.04,14375.25,20696,11731,786.0835,187161206086.0,8.25,28443.9,2838.6,70140,8965,37015.7,29226,89.82,68594.6398,11261,55518,22298,49550.6,49258320741.0,4.0,1960.1,11270.5,416.7,405.1
2013-09-01,1.0021,100.2,1414.547,101.3,1010.0,2103.86,1766.68,1535.008,3249.79,3156,6019.82,1905.0,15956,32.7406,23.8195,2679,2884.79,13779.5,21020,12002,741.616,289101927940.0,8.25,28499.9,2758.2,69562,9018,37469.5,29346,95.83,71518.8634,12096,55311,22808,49539.4,51595633254.0,4.0,1931.2,11264.2,424.2,412.3
2013-10-01,1.0057,100.6,1356.476,100.3,1003.1,2165.62,1819.93,1456.866,3479.85,3593,6226.21,1903.7,17041,31.7448,22.54217,3169,2847.35,14035.0,21009,12640,746.9452,307554181552.0,8.25,28352.6,2801.8,70519,8369,37558.6,30069,102.85,71808.9258,11532,53850,22410,55778.8,67527132752.0,4.1,2055.0,11264.7,453.8,441.6
