"дата","ВВП","Индекс обрабатывающего производства по ОКВЭД2, с поправкой на сезонность, 2002.1(факт)=100","1.12. Оборот розничной торговли, млрд рублей","1.13. Объем платных услуг населению (по данным оперативной отчетности), млрд рублей","Объем государственного внутреннего долга Российской Федерации - всего,млрд.руб.","Индекс промышленного производства по ОКВЭД2, с поправкой на сезонность, 2002.1(факт)=100","Количество безработных (на конец месяца), млн. чел.","Денежная масса (М2)","1.14.2. Стоимость и изменение стоимости фиксированного набора потребительских товаров и услуг  в расчете на месяц, рублей","2.3 Кредиты, депозиты и прочие средства, предоставленные  корпоративным клиентам, физическим лицам и кредитным организациям, млрд.рублей","1.9.1 экспорт товаров – всего, млрд руб.","Индекс МБ химии и нефтехимии","Индекс реального объема сельскохозяйственного производства, с поправкой на сезонность (1993.1 (факт.) =100)","1.9.2 импорт товаров – всего, млрд руб.","3.2.2. Средние цены производителей на продукцию животноводства.Птица (в живом весе), рублей за тонну ","в т.ч. по государственным гарантиям Российской Федерации в иностранной валюте:","3.1.1.4 Топливо дизельное, рублей за тонну ","3.2.1. Средние цены производителей на продукцию животноводства.Скот крупный рогатый (в живом весе), рублей за тонну ","Акции НОВАТЭК","1.14.1. Стоимость и изменение стоимости условного (минимального) набора продуктов питания  в расчете на месяц, рублей","Средняя номинальная заработная плата, руб/мес","Акции АПК: Фосагро","1.6.Инвестиции в основной капитал, млрд рублей","Численность занятых в возрасте 15-72 лет, млн человек","Индкс_ГО_МБ_RGBITR","Норма безработицы (на конец месяца), %","3.2.3. Средние цены производителей на продукцию животноводства.Молоко, рублей за тонну ","Акции  АПК: Акрон ","Ввод в действие жилых домов организациями  всех форм собственности, млн кв.м общей площади жилых помещений","3.1.1.1 Нефть обезвоженная, обессоленная и стабилизированная, рублей за тонну","Индекс производства по добыче полезных ископаемых по ОКВЭД2, с поправкой на сезонность, 2002.1(факт)=100","Акции Группа ЛУКОЙЛ","1.7. Объем работ_Строительства_в фактических ценах соответствующих лет, млрд рублей","Объем работ, выполненных по виду деятельности Строительство в текущих ценах, млрд. руб.","Индекс обрабатывающего производства по ОКВЭД2, с поправкой на сезонность, 2002.1(факт)=100","Индекс промышленного производства по ОКВЭД2, 2002.1=100","Цены на сырьевые товары: палладий, руб./грамм.","1.5. Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ","Коммерческий грузооборот транспорта, млрд. т-км.","2.5. Просроченная задолженность по заработной плате на начало месяца, всего, млн рублей ","Объем ФНБ на начало периода, млрд. руб.","Курс акций, Сбер","Индекс нефти и газа","Индекс металлов и добычи","3.1.1.2 Газ горючий природный (газ естественный), рублей за тыс.куб.м","Цены на сырьевые товары: серебро, руб./грамм.","Индекс производства по добыче полезных ископаемых по ОКВЭД2, 2002.1=100","1.8. Ввод в действие жилых домов организациями  всех форм собственности, млн кв.м общей площади жилых помещений","Индекс обрабатывающего производства по ОКВЭД2, 2002.1=100","Цены на сырьевые товары: золото, руб./грамм.","Биржевые индексы: MOEX","Курс акций Газпром, руб","1.4.1 Производство продуктов животноводства в хозяйствах всех категорий Скот и птица  на убой в живом весе, тыс.тонн ","3.1.1.5 Мазут топочный, рублей за тонну ","Сальдо торгового баланса,  млрд.руб","Цены на сырьевые товары: алюминий, USD","Опережающий индекс","Акции АНК Башнефть, руб.","3.2.4. Средние цены производителей на продукцию животноводства.Яйцо,рублей за тыс.штук","Baltic Dry Index","Цены на сырьевые товары: никель, USD","Цены на сырьевые товары: пшеница, USD","3.4. Индексы тарифов на грузовые перевозки  (на конец периода, в % к концу предыдущего периода)","Курс USD","3.3.1. Сводный индекс цен на продукцию (затраты, услуги) инвестиционного назначения (на конец периода, в % к концу предыдущего периода)","Цены на сырьевые товары: медь, USD","Объем торгов МБ металлов и добычи, руб.","государственные гарантии Российской Федерации в валюте Российской Федерации, млрд.руб.","Учетная ставка","Всего внешний долг,экв. млн. долл. США","3.1.1.3 Бензин автомобильный, рублей за тонну","Обьем торгов, руб.","Цены на сырьевые товары: платина, руб./грамм.","Сальдо внешней торговли, млн. USD","3.5. Индекс потребительских цен  (на конец периода, в % к концу предыдущего периода)","Оборот внешней торговли, млн. USD"
2013-01-01 00:00:00,5456.667632,189.8,1710.7,494.9,4977.898,149,4.5,27164.6,10046.7,32886.9,1162.161,7849.38,255.7,651.651,59094,11389.8,22166,72980,350.3,2662.2,26840,1246.9,511.4,70.7,313.36,6,15402,1412.4,3.6,10358,135.8,2020.9,269.7,269.7,78.1,138.1,697.5663,427.3,420.9,1560,2690.63,106.86,3308.51,2908.98,1149,30.35938,135.9,3.6,155.8,1627.889,1530.715556,142.09,850,7722,16.85018319,2047.68,100,1789.8,3095,760,17401,773.56,101.7,30.297,100.6,8110.3,56607260009,906.638,8.25,50769.2,17560,176433568485,1620.386,14444,101,59087.2129
2013-02-01 00:00:00,5456.667632,189.1,1690.3,504.1,4899.157,148.7,4.3,26348.7,10106.4,32789.3,1279.916,7995.58,256.6,811.43,55985,11308.8,21385,74640,335.03,2693.3,26620,1227.7,652.5,71,317.32,5.8,15198,1429.9,2.9,10630,136.2,2021,284.1,284.1,78.3,137.3,728.756,391.9,384.5,2296,2678.63,106.75,3395.99,2918.63,1143,29.666,125.7,2.9,166.9,1585.306,1514.432,137.4,863,7705,15.52753776,2081.65,100.3214941,1909.8,3050,757,18102,736.75,99.2,30.1713,101.5,8231.55,50182667319,906.638,8.25,50644.6,19138,202564390642,1628.181,13680,100.6,67680.6465
2013-03-01 00:00:00,5456.667632,189,1840.3,516.8,4841.925,148.7,4.3,26768.4,10171.7,33541.1,1379.952,8064.77,257.2,882.672,54359,11301.7,20746,73488,327.71,2716.1,28693,1231.5,741.5,71,318.53,5.7,14950,1430.7,3.9,10723,136.6,1963,385.8,385.8,78.3,151.5,745.9457,429.3,419.2,2404,2682.58,102.9,3239.67,2688.17,1152,28.52714,137.9,3.9,187.4,1576.537,1465.8075,134.08,925,7842,16.09799681,1916.25,99.73039485,2065,3085,910,16652.5,712.25,100.1,30.8908,98.8,7721.18,51018569758,902.662,8.25,50616.5,19228,246884329391,1566.746,12904,100.3,72257.9989
2013-04-01 00:00:00,5835.960594,189.7,1850.3,527.1,4790.192,149.1,4.2,27198.6,10237.2,33800.9,1384.818,7686.61,257.9,931.548,54213,11301.1,20286,75002,314.9,2773,30026,1280.2,771.6,71.1,317.17,5.6,15232,1320,3.7,9707,137.1,1980.1,399.7,399.7,78,145.9,712.05,417.1,407.2,2568,2696.73,97.89,3178.59,2397.3,1266,25.80381,134.5,3.7,184.6,1503.458,1383.882727,124.15,915,7738,14.4629866,1867.56,99.16099437,1930,3234,863,15620,700.06,105.8,31.34,99.8,7208.05,59843178645,899.362,8.25,49803.9,19006,245787609901,1503.63,12548,100.5,73362.9039
2013-05-01 00:00:00,5835.960594,191,1902.3,525.6,4909.188,149.7,3.9,27377.1,10333.8,34763.2,1292.031,7524.36,258.9,833.976,53347,11384.1,19842,74616,290.5,2878.2,29723,1309,987,71.7,327.86,5.2,14976,1232.1,3.4,9208,137.6,1960.8,449,449,77.6,144.9,729.2861,425.1,414.7,2517,2727.79,102.86,3012.73,2279.33,1259,23.10778,139.2,3.4,184.2,1416.833,1399.142857,123.4,885,7565,14.66808633,1840.75,99.15342013,1989.7,3005,809,14888.25,699,100.3,31.228,100.7,7281.91,44574789068,894.784,8.25,49837.4,18627,223806826798,1484.428,12277,100.7,66043.1814
2013-06-01 00:00:00,5835.960594,192.5,1940.2,539.5,4949.326,150.5,4.1,27593.4,10409.9,35396.6,1364.007,7502.69,260.2,922.422,54641,11269.5,19507,71394,318.47,2969.8,30986,1240.1,1160.1,71.4,317.99,5.4,14783,1295.1,5.1,9744,137.8,1873,546.6,546.6,77.3,148.3,742.1435,400.2,389.4,2295,2739.33,90.62,2941.2,2127.57,1271,22.1625,136.8,5.1,195.8,1395.631,1316.657368,109.1,851,7990,13.8732328,1811.04,98.9219914,2009.9,2363,1171,14188,687.88,100.2,31.83,100.8,7057.04,43257333789,894.784,8.25,49645.5,18533,222482933876,1485.855,11517,100.4,68582.5488
2013-07-01 00:00:00,6334.48977,193.6,1991.2,555.5,4951.261,151.1,4,28212.3,10569.3,36185.4,1434.004,7264.6,261.7,996.567,53133,11266.5,19980,70732,349.26,2962,30229,1200,1053.2,71.8,313.11,5.3,14710,1240.1,4.2,10629,137.9,1889,562.2,562.2,76.9,149.7,752.7564,411.2,399.9,2537,2828.23,97.83,3022.1,2004.36,1329,20.69591,140.6,4.2,196.2,1349.453,1381.933478,128.61,895,8439,13.48915162,1778.65,99.21079688,1845,2433,1062,13803.5,660.5,103,32.4288,100.1,6917.04,41301635571,893.684,8.25,49568.1,19027,209598336998,1471.285,11541,100.8,71998.0447
2013-08-01 00:00:00,6334.48977,193.9,2041.1,559.5,4969.57,151.3,4,28443.9,10558.3,37015.7,1409.8,5948.32,263.2,944.3,55518,11270.5,20696,70140,358,2838.6,29226,984,1147.2,72.4,318.35,5.2,15139,1072.5,5.1,11261,137.8,1960.1,555.6,555.6,76.6,151.7,786.0835,416.7,405.1,2526,2858.04,89.82,3192.44,2071.59,1347,22.97739,141.2,5.1,199.7,1429.087,1383.65,131.9,896,8965,14.08472012,1839.48,99.23636693,2009.8,2675,1132,14375.25,642,100.2,33.05,101,7311.95,49258320741,890.657,8.25,49550.6,22298,187161206086,1584.763,11731,100.1,68594.6398
2013-09-01 00:00:00,6334.48977,193.6,2019.7,554.9,5027.111,151.1,4,28499.9,10550.3,37469.5,1446.045,6019.82,264.5,928.445,55311,11264.2,21020,69562,362,2758.2,29346,995,1202.5,71.8,315.05,5.3,15956,1010,6.8,12096,137.6,1931.2,601.4,601.4,76.2,151.5,741.616,424.2,412.3,2679,2884.79,95.83,3249.79,2103.86,1343,23.8195,138.2,6.8,199.5,1414.547,1448.436667,144.15,1036,9018,15.80911773,1766.68,99.3649802,1905,3156,2003,13779.5,645,99.9,32.7406,101.3,7221,51595633254,909.99,8.25,49539.4,22808,289101927940,1535.008,12002,100.2,71518.8634
2013-10-01 00:00:00,6701.449047,193,2083.1,565.5,5109.129,150.7,4.1,28352.6,10624.4,37558.6,1391.404,6226.21,265.5,981.036,53850,11264.7,21009,70519,385.14,2801.8,30069,967,1449.9,71.5,322.89,5.5,17041,1003.1,6.7,11532,137.4,2055,591.9,591.9,75.8,159.1,746.9452,453.8,441.6,3169,2847.35,102.85,3479.85,2165.62,1293,22.54217,142.7,6.7,206.1,1356.476,1505.321739,150.4,1179,8369,12.92709357,1819.93,99.32993161,1903.7,3593,1504,14035,689.88,95.9,31.7448,100.3,7256,67527132752,933.133,8.25,55778.8,22410,307554181552,1456.866,12640,100.6,71808.9258
